label,sentence
0,然后我跑到图书馆写周记，现在我写完了。
0,我有一个可爱的布娃娃，它每天陪我睡觉，陪我读书·······
1,它穿着一件美丽的裙子，长着乌黑的头发，弯弯的眉毛下面镶嵌着一对像宝石一样的眼睛，长着稍高的鼻梁，鼻子下面有一张樱桃般的小嘴。
0,每天晚上睡觉的时候，它会像妈妈一样给我讲故事听。
0,在我生气的时候，它还会给我讲笑话，逗我开心。
0,晚上，它还会教我读三字经、乘法口诀。
0,我爱我的布娃娃！
1,我们家的葡萄熟了，结了满满一树，有红的、有紫的、还有绿的，真是大丰收啊，想着都直流口水，今天下午我们就开始摘葡萄，妈妈站在梯子上，我扶着梯子，姐姐负责端着盆子接葡萄，我们配合默契，不一会儿就摘了满满一大盆。
0,回到院子里，奶奶洗了几串又红又紫的大葡萄给我们吃，看着都好吃，吃起来更好吃!
1,酸酸甜甜的
0,母亲节
0,母亲节快到了在此我想对我的母亲说一声：“母亲您辛苦了!”
0,我们住过最贵的房子就是母亲的肚子。
0,母亲是我们最亲密的知心好友。母亲在我们最困难的时候帮助我们的。
1,记得，有一次我考试的时候考失手了，我回到家吧试卷拿给妈妈看，“完了这次考试，考失手了妈妈一定会打我的。”
0,我小声嘀咕。
0,当母亲拿到试卷时，发现我非常害怕的样子。
1,想了想对我说：“孩子，没事的。虽然这次考差了，但是你只要争取下一次考得好点，你还是最棒的那一个。在妈妈的心里你永远是最棒的”
0,我听了妈妈的话心里满是感动。
0,下定决心一次一定要考好!
0,母亲给予了我们生命，那我们就要好好报答母亲。
0,“滴水之恩当涌泉相报!”
0,下午放学回家，我看见妈妈在厨房里做饭，我放下书包想帮妈妈做点啥。
0,刚开始妈妈不同意，说我啥也干不到。
1,我说：“不学永远都不会的，我会学会的。”
1,妈妈说：“那好，你把那棵小油菜给洗了吧?” 
1,我把小油菜放进水盆里，接了些水，三下五除二就洗好了。
0,我高兴地拿给妈妈看。
1,妈妈说：“你看看油菜里面，我掰开一看，油菜里面到处是泥点。
1,我不好意思地说：“我就不信洗不干净一棵小油菜。”
1,我把油菜掰开，一片一片的洗。洗了一遍又一遍，上面的脏东西都被我清除的干干净净。
1,妈妈看了露出了满意的笑容。
1,对我说：“看来我闺女还是挺聪明能干的吗，一学就会。”
1,我说：“妈妈以后我可以帮你干很多事情的。”
0,今天下午我在回家的路上看见受伤的小鸟从树上掉下了草地上，我马上跑过去把这只小鸟捉回家，帮它包扎好伤口，然后给小鸟喂食。
1,过了5天，妈妈说：“小鸟的伤口好了，该把它放回大自然了”。
0,我恋恋不舍的把小鸟放了，这小鸟真可爱!
1,今天早上小红走在马路上看见一位穿眷蓝色衣黄色领带的叔叔正吃香蕉，可他把剥香蕉皮扔在地上，小红发现了，她赶紧捡起这香蕉皮并扔到了垃圾桶里。
1,小红对叔叔说：“我们要爱护公共环境卫生，人人有责”。
1,叔叔看到小红那么懂事，脸红着说：“小朋友你真棒，叔叔要向你学习，我以后不乱丢垃圾了”。
1,话说完，叔叔挥着手跟小红说 ：再见，你是个好孩子!
1,我的弟弟有一个可爱的小木马，它的身体是天蓝色的，头上有两个灰色的把手，腿上有四个黑色的滑轮。
1,我的弟弟每次玩他的小木马的时候，都会拍着后面的座位对我说：“来，姐姐，坐坐!”
1,然后，我就坐在弟弟的后面，抱着他胖乎乎的小身体。
1,弟弟就拉着我，哒哒着在家里转圈圈跑。
0,每次我和弟弟都能玩得很开心!
0,弟弟的小木马真好玩呀!
0,今天我去二爸家玩，是妈妈带我去的，但过了一会妈妈又说姐姐生病了，她要赶去西安，我很伤心。
1,不知道妈妈什么时候才能回家，也不知道姐姐身体怎么样了，我们一直发短信，希望妈妈早点回来，途中顺利，平安无事。
0,晚上妈妈用电话联系说她才到西安，我希望姐姐快点好起来，妈妈早点回家。
0,我想对妈妈说您辛苦了。
0,您一定累了，您花了很多钱给我报名，让我学习各种知识，而且您也付出了不少功夫和劳动，我想对妈妈说我已经长大了，不用您操心了，也想对妈妈说我在这一年里谢谢您对我的培养，等您老了我长大了我一定会很好的照顾您。
0,今天考了期中测试卷，我考了一百分。
0,我想我中考的时候一定能考一个一百分，那时我就会得到一个奖状，还会有一个便签本或一个笔记本，我要把本子送给我妈，可以写笔记呢!
0,这样等我上了大学就可得奖学金呢，可以带妈妈去吃好吃的，我一想这也太美好了。
0,今天我真开心，因为我完成了所有作业。
0,我看的这些书中，给我留下印象最深的是：《大灰狼与小绵羊》。
0,在这本书中，我认识了很多种羊，有羚羊、黄羊、青羊、山羊、岩羊等。
0,我还知道羊在地球上分布极广，我还知道羊擅长奔跑，反应机敏。
0,看来在书中可以学到本领噢!
0,还有一周就要放暑假了，我非常兴奋!
1,妈妈表情严肃地说：“你不要天天惦记着放假，要安下心来复习，只有成绩好，你假期的愿望才能实现。”
0,但我心里还是想着假期的美好。
0,这个假期第一个愿望是：我要痛痛快快地上网玩大战僵尸的游戏，平时妈妈不让我玩，总算有时间可以把这个游戏玩熟练了。
0,第二个愿望是：到姥姥家去爬山，姥姥家在八五三农场，哪里风景非常美，有山有水，我可以和小朋友们比赛爬山，太有意思了!
0,第三个愿望是，要看几个动画片，有几个小朋友给我介绍的片子，我准备在假期里看。
0,我还有很多愿望呀!
0,我再坚持一周，好好复习，争取考出好成绩，实现我的愿望。
0,一大早，我和妈妈、奶奶一起去菜园摘豌豆。
1,菜园里有绿绿的玉米苗，有大大的蚕豆哥哥，还有小小的豌豆妹妹! 
0,奶奶先叫我看一看豌豆的肚肚鼓不鼓，再捏一捏豌豆硬不硬。
1,我开始摘豆，先把一只手放在豆子头上，然后另一只手拉着豆子的藤蔓，使劲一扯，豆子乖乖落在我的手心里了!
0,不一会儿，我们就收获满满回家了。
0,豌豆成了我们今天餐桌上一道美味的菜!
0,今天我和爸爸妈妈到蓟县府君山花园游玩。
1,到了花园里，我看到黄黄的迎春花、红红的玉兰花、还有紫紫的紫丁香花，它们都开放了。
0,我刚看到美丽的景色就开始登山了。
0,我使出了全身的力气向前登去，爸爸妈妈都赶不上我。
0,到了半山腰，我就累了，走不动了，想放弃。
1,我转身就往回走。
1,和我同行的一位阿姨看到了说：“只要坚持，有恒心，就一定能登到上顶。”
1,我听到了，感到很惭愧，低下头心里暗暗地想：“我一定要登到山顶。”
0,在我的努力下，终于到了上顶。
0,白云向我招招手，好像在说：“你真是一个意志坚强的好孩子。” 
0,今天真是一个快乐的一天。
0,今天，天气好，但对我来说，天气阴森，乌云密布，因为，我—摔了一跤。
0,爸爸带我来到了我渴望已久的地方—峨眉山。
0,一路上人山人海，车水马龙，人云密布。
0,我们看了看介绍，这里的路弯弯曲曲，要走一个多小时的路才能到达“终点”—金顶。
0,走着走着，只听“哎呦”一声，然后咚咚咚咚......
0,哎呦。
0,原来，是我脚下一滑，马上就要爬完楼梯了，结果却滚了下来，我心都碎了。
0,这让我明白了，做事要小心谨慎。
0,今天，我语文第二组测试卷考了一百分，老师在我的试卷上盖了一个章，上面写着三个鲜红的大字：“你真棒”。
0,老师让我发试卷，我心里可高兴啦!
1,放学后，我三步并两步跑出了校门，迫不及待的向家跑去。
0,回到家中，我连忙把这个好消息告诉了爸爸。
1,爸爸听了后说：“不错。”
0,说完，爸爸叫我再检查一遍试卷。
1,我不服气地说：“都考一百分了，还检查啥？”
1,爸爸说：“不要骄傲，骄傲使人落后。”
0,听了爸爸的话，我认真地检查了一遍，果然有几个不会写的字我用拼音代替，老师还给我打了勾。
0,我又查了字典，把字写了上去。
0,虽然这次考试考了一百分，但是还有许多不足之处，我仍然需要努力。
0,新的钟声敲响了，我们又迎来了新的一年，新的祝福意味着我们对即将到来的一年充满了期待。
0,过去的一年里，有成功和喜悦，也有失败和泪水。
0,不管怎么样，新的一年就要开始了，让我们在新的一年里唱起来，跳起来。
0,在新的一年里，让我们向成功迈进一步，让我歌唱我们的未来。
0,唱着新年的歌，跳着新年的舞，迎接新的开始。
0,新的一年，我们又长大了一岁，又变得懂事一些，新的一年我们应该多多的帮助父母，自觉承担一些家务，不让父母为我们生气。
0,一日之计在于春，让我们用笑脸和希望迎接新的阳光，新的开始。
0,我今天和小朋友们一起去了万奥农庄了。
0,我非常开心，但我有一点不开心，因为黄老师说可以采草莓的，但今天没有采，黄老师说话不算数。
0,但是我已经很开心了，因为我们去了葡萄园、种了芦荟、看了展览馆，所以我今天很开心了。
0,我发现了一个时间的秘密，在班级里上课的时候时间过得很慢，今天和小朋友们一起去万奥农庄玩的时候却特别快。
